ads_name,property_type,apartment_name,area,region,city,latitude,longitude,bedrooms,bathrooms,size,is_furnished,capacity,rating,yearly_price,property_management_type
Unfurnished Studio with AC 39th Floor Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042587,106.692609,Studio,1,21.0,Unfurnished,2,,10000000,REALTY
Unfurnished Studio Apartment at 28th Floor Tokyo Riverside PIK 2 By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0424281578319485,106.69224500656128,Studio,1,21.0,Unfurnished,2,,10000000,REALTY
Spacious and Comfy 3BR Ciputra International Apartment By Travelio,apartment,Apartemen Ciputra International,Cengkareng,DKI Jakarta,Jakarta,-6.173912,106.729106,3,2,118.56,Full Furnished,5,,106374999,TPM
Strategic Location 2BR Apartment at FX Residence By Travelio,apartment,Apartemen FX Residence,Senayan,DKI Jakarta,Jakarta,-6.22487025170882,106.80405557155609,2,1,63.0,Full Furnished,3,5.0,121604000,TPM
Comfort 1BR at Sky Terrace Apartment By Travelio,apartment,Apartemen Sky Terrace,Jakarta Barat,DKI Jakarta,Jakarta,-6.151301957685768,106.71291410923004,1,1,35.7,Full Furnished,2,5.0,37125000,TPM
Relaxing 2BR at The Empyreal Epicentrum Kuningan Apartment By Travelio,apartment,Apartemen The Empyreal Epicentrum Kuningan,Epicentrum,DKI Jakarta,Jakarta,-6.218660181786843,106.83386564254761,2,2,86.84,Full Furnished,3,5.0,119588244,TPM
Luxurious and Fully Furnished 2BR Casablanca Apartment By Travelio,apartment,Apartemen Casablanca,Casablanca,DKI Jakarta,Jakarta,-6.222873118292061,106.84535622596741,2,2,121.0,Full Furnished,4,4.6,185000000,TPM
Relaxing 2BR at Sudirman Park Apartment By Travelio,apartment,Apartemen Sudirman Park,Sudirman,DKI Jakarta,Jakarta,-6.205391877764738,106.81696772575378,2,1,46.68,Full Furnished,4,4.8,68175000,TPM
New Furnished Studio West Vista Apartment near Puri Indah By Travelio,apartment,Apartemen West Vista,Duri Kosambi,DKI Jakarta,Jakarta,-6.158109,106.726681,Studio,1,23.74,Full Furnished,2,5.0,33625000,TPM
2BR with Cozy Design at Green Palace Kalibata Apartment By Travelio,apartment,Apartemen Green Palace Kalibata,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.256900672828798,106.85046046972275,2,1,29.92,Full Furnished,3,5.0,60000000,TPM
Comfy Studio at Tifolia Apartment By Travelio,apartment,Apartemen Tifolia,Pulo Gadung,DKI Jakarta,Jakarta,-6.175350308134791,106.89268112182617,Studio,1,21.0,Full Furnished,2,4.0,30635526,TPM
Unfurnished 2BR with AC at 27th Floor Puri Orchard Apartment By Travelio,apartment,Apartemen Puri Orchard,Cengkareng,DKI Jakarta,Jakarta,-6.166112,106.729257,2,1,50.0,Unfurnished,4,,33999999,REALTY
Unfurnished Studio Apartment with AC at Nine Residence By Travelio,apartment,Apartemen Nine Residence,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25331857828738,106.82673431932926,Studio,1,38.3,Unfurnished,2,5.0,50000000,REALTY
Young and Trendy 2BR Kalibata City Apartment By Travelio,apartment,Apartemen Kalibata City,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25698199288882,106.85088761150837,2,1,33.0,Full Furnished,4,5.0,43557107,TPM
Homey 1BR at Puri Kemayoran Apartment By Travelio,apartment,Apartemen Puri Kemayoran,Kemayoran,DKI Jakarta,Jakarta,-6.15643812403518,106.85186326503754,1,1,42.0,Full Furnished,2,4.9,34121000,TPM
Comfort Stay Studio Room at Green Palace Kalibata Apartment By Travelio,apartment,Apartemen Green Palace Kalibata,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.256900672828798,106.85046046972275,Studio,1,22.0,Full Furnished,2,5.0,32889932,TPM
Comfort Living 2BR at Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,34.37,Full Furnished,3,5.0,37367500,TPM
Luxurious 2BR at West Vista Apartment By Travelio,apartment,Apartemen West Vista,Duri Kosambi,DKI Jakarta,Jakarta,-6.158109,106.726681,2,1,64.0,Full Furnished,3,5.0,100000000,TPM
Pleasurable and Modern 2BR Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042071,106.691986,2,1,36.0,Full Furnished,3,,35000000,TPM
Cozy and Strategic Madison Park Studio (No Kitchen) Apartment By Travelio,apartment,Apartemen Madison Park,Tanjung Duren,DKI Jakarta,Jakarta,-6.1786569376775065,106.78887829184532,Studio,1,18.16,Full Furnished,2,5.0,34341800,TPM
Gorgeous and Homey 1BR Puri Orchard Apartment By Travelio,apartment,Apartemen Puri Orchard,Cengkareng,DKI Jakarta,Jakarta,-6.166112,106.729257,1,1,35.2,Full Furnished,2,,34875000,TPM
Relaxing 3BR Apartment at Bassura City near Shopping Mall By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,3,1,48.4,Full Furnished,4,5.0,56453526,TPM
Nice and Homey 2BR Apartment at Menteng Park By Travelio,apartment,Apartemen Menteng Park,Menteng,DKI Jakarta,Jakarta,-6.1908806210051495,106.84015274047852,2,1,64.0,Full Furnished,3,,99916415,TPM
Homey and Comfortable 1BR Apartment Marbella Kemang Residence By Travelio,apartment,Apartemen Marbella Kemang Residence,Kemang,DKI Jakarta,Jakarta,-6.2469502015036165,106.81429624557495,1,1,34.0,Full Furnished,2,5.0,57476027,TPM
Nice and Comfortable 2BR at Kalibata City Apartment By Travelio,apartment,Apartemen Kalibata City,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25698199288882,106.85088761150837,2,1,28.57,Full Furnished,4,5.0,31670286,TPM
Best Deal 3BR Apartment Bassura City near Shopping Center By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,3,1,48.4,Full Furnished,4,5.0,56278526,TPM
Comfy and Spacious 2BR Loft Apartment Maqna Residence By Travelio,apartment,Apartemen Maqna Residence,Kembangan,DKI Jakarta,Jakarta,-6.1972323447994855,106.76213264465332,2,2,76.0,Full Furnished,4,,120000000,TPM
2BR Pancoran L'Avenue Apartment Great Facility By Travelio,apartment,Apartemen L'Avenue Pancoran,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.248592628891698,106.84432625770569,2,1,102.75,Full Furnished,4,4.9,120576625,TPM
Spacious Studio Room at Capitol Suites Apartment By Travelio,apartment,Apartemen Capitol Suites,Senen,DKI Jakarta,Jakarta,-6.180422242733495,106.83903694152832,Studio,1,35.25,Full Furnished,2,4.9,71000000,TPM
Spacious and Comfort 2BR with Maid Room at Permata Gandaria Apartment By Travelio,apartment,Apartemen Permata Gandaria,Kebayoran Baru,DKI Jakarta,Jakarta,-6.244934488120058,106.78821980953217,2,2,102.92,Full Furnished,4,5.0,121570000,TPM
1BR Cozy and Stylish Signature Park Grande Apartment By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.244827836402102,106.8660843372345,1,1,37.63,Full Furnished,2,5.0,54243899,TPM
Great 2BR Apartment at Metro Park Residence Kebon Jeruk By Travelio,apartment,Apartemen Metro Park Residence Kebun Jeruk,Kebon Jeruk,DKI Jakarta,Jakarta,-6.186254107437438,106.75765335559845,2,1,45.0,Full Furnished,3,5.0,55050000,TPM
Cozy Living and Modern 2BR Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,39.99,Full Furnished,3,5.0,37707500,TPM
New and Fresh Studio Apartment at Sentraland Cengkareng By Travelio,apartment,Apartemen Sentraland Cengkareng,Cengkareng,DKI Jakarta,Jakarta,-6.14001,106.738669,Studio,1,22.3,Full Furnished,2,5.0,32040000,TPM
Simply Look and Cozy 2BR Apartment at Gading Nias Residence By Travelio,apartment,Apartemen Gading Nias Residence,Kelapa Gading,DKI Jakarta,Jakarta,-6.153782044208278,106.91722869873047,2,1,35.0,Full Furnished,3,5.0,26334483,TPM
Simply and Comfort Stay 1BR at Maple Park Sunter Apartment By Travelio,apartment,Apartemen Maple Park Sunter,Sunter,DKI Jakarta,Jakarta,-6.14947,106.856916,1,1,32.25,Full Furnished,2,5.0,34698225,TPM
Simply Look 2BR Apartment Gading Nias Residence By Travelio,apartment,Apartemen Gading Nias Residence,Kelapa Gading,DKI Jakarta,Jakarta,-6.153782044208278,106.91722869873047,2,1,35.0,Full Furnished,4,,35000000,TPM
Comfy 2BR at Kalibata City Apartment By Travelio,apartment,Apartemen Kalibata City,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25698199288882,106.85088761150837,2,1,28.57,Full Furnished,3,5.0,33465286,TPM
Simply 2BR with Pool View Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,30.25,Full Furnished,3,5.0,42000000,TPM
Warm and Cozy Studio at Signature Park Grande Apartment By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.244827836402102,106.8660843372345,Studio,1,25.0,Full Furnished,2,5.0,42280714,TPM
Nice and Cool 1BR at Pancoran Riverside Apartment By Travelio,apartment,Apartemen Pancoran Riverside,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.251460865331976,106.86169993132353,1,1,30.5,Full Furnished,2,5.0,31969343,TPM
Classic Unfurnished 2BR Apartment with AC at Gajah Mada Mediterania By Travelio,apartment,Apartemen Gajah Mada Mediterania,Gajah Mada,DKI Jakarta,Jakarta,-6.149269878169312,106.81557297706604,2,1,42.0,Unfurnished,4,5.0,29999999,REALTY
Comfort 2BR Unfurnished at 36th Floor Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0424281578319485,106.69224500656128,2,1,38.0,Unfurnished,4,5.0,17094444,REALTY
Pleasurable Studio at Tokyo Riverside Apartment PIK 2 By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042278788605511,106.69157981872559,Studio,1,21.0,Full Furnished,2,5.0,20500000,TPM
Unfurnished 2BR with AC at 18th Floor Green Pramuka City Apartment By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188473,106.874737,2,1,33.0,Unfurnished,4,,27249999,REALTY
Simply Studio Unfurnished with AC at Osaka Riverview Apartment By Travelio,apartment,Apartemen Osaka Riverview PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.057854309284673,106.6785603761673,Studio,1,20.49,Unfurnished,2,,12536441,REALTY
Well Appointed and Homey Studio at West Vista Apartment By Travelio,apartment,Apartemen West Vista,Duri Kosambi,DKI Jakarta,Jakarta,-6.158109,106.726681,Studio,1,30.2,Full Furnished,2,5.0,40000000,TPM
Comfort and Spacious 2BR at St. Moritz Puri Apartment By Travelio,apartment,Apartemen St. Moritz Puri,Puri Indah,DKI Jakarta,Jakarta,-6.187120748508719,106.74012243747711,2,1,84.0,Full Furnished,4,5.0,100223755,TPM
Best Studio Unfurnished at 38th Floor Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0424281578319485,106.69224500656128,Studio,1,21.0,Unfurnished,2,,10000000,REALTY
Cozy Stay and Relax at Studio Pakubuwono Terrace Apartment By Travelio,apartment,Apartemen Pakubuwono Terrace,Kebayoran Lama,DKI Jakarta,Jakarta,-6.23771278462011,106.76970854401588,Studio,1,22.0,Full Furnished,2,5.0,34875000,TPM
Strategic Place with Cozy Place Apartment Studio Signature Park Tebet By Travelio,apartment,Apartemen Signature Park Tebet,Tebet,DKI Jakarta,Jakarta,-6.242609475744002,106.85457229614258,Studio,1,24.0,Full Furnished,2,5.0,43648377,TPM
Cozy Style and Good Deal Studio Signature Park Grande Apartment By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.242609475744002,106.85457229614258,Studio,1,25.96,Full Furnished,2,5.0,41217286,TPM
Deluxe and Relaxing 3BR Casablanca Mansion Apartment By Travelio,apartment,Apartemen Casablanca Mansion,Casablanca,DKI Jakarta,Jakarta,-6.2231877539669895,106.84648275375366,3,2,76.5,Full Furnished,5,4.7,115000000,TPM
Cozy 1BR Apartment H Residence near MT Haryono By Travelio,apartment,Apartemen H Residence,MT Haryono,DKI Jakarta,Jakarta,-6.244879162544077,106.87217362225056,1,1,46.0,Full Furnished,2,4.9,50000000,TPM
Modern Studio Apartment at 26th Floor Green Pramuka City By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188552,106.87484,Studio,1,21.0,Full Furnished,2,4.9,40101600,TPM
Fancy and Nice Studio at Westmark Tanjung Duren Apartment By Travelio,apartment,Apartemen Westmark Tanjung Duren,Tanjung Duren,DKI Jakarta,Jakarta,-6.180331577662604,106.79365932941437,Studio,1,23.91,Full Furnished,2,,33388831,TPM
Pool View 2BR Apartment Green Pramuka City By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188552,106.87484,2,1,34.0,Full Furnished,4,4.8,32911429,TPM
Cozy and Minimalist Studio Room Ciputra International Apartment By Travelio,apartment,Apartemen Ciputra International,Cengkareng,DKI Jakarta,Jakarta,-6.173912,106.729106,Studio,1,25.56,Full Furnished,2,,43375000,TPM
Comfortable Studio at Menteng Park Apartment By Travelio,apartment,Apartemen Menteng Park,Menteng,DKI Jakarta,Jakarta,-6.1908806210051495,106.84015274047852,Studio,1,28.0,Full Furnished,2,5.0,54025000,TPM
Simply and Comfortable 2BR Apartment at Gading Nias Residence By Travelio,apartment,Apartemen Gading Nias Residence,Kelapa Gading,DKI Jakarta,Jakarta,-6.153782044208278,106.91722869873047,2,1,35.0,Full Furnished,4,5.0,26434483,TPM
Minimalist and Homey 2BR Apartment at Green Pramuka City near Mall By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188552,106.87484,2,1,33.0,Full Furnished,3,4.9,33517857,TPM
Best Deal and Comfortable Studio Tamansari The Hive Apartment By Travelio,apartment,Apartemen Tamansari The Hive,Cawang,DKI Jakarta,Jakarta,-6.238444691538016,106.87717258930206,Studio,1,31.52,Full Furnished,2,,49442854,TPM
Best Deal and Homey 2BR The Kensington Royal Suites Apartment By Travelio,apartment,Apartemen The Kensington Royal Suites,Kelapa Gading,DKI Jakarta,Jakarta,-6.172402,106.895336,2,1,63.31,Full Furnished,3,,160000000,TPM
Good Deal 1BR Green Pramuka City near Mall Apartment By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188473,106.874737,1,1,33.0,Full Furnished,2,,32625000,TPM
Beautiful Pool View Homey Spacious Studio at West Vista Apartment By Travelio,apartment,Apartemen West Vista,Duri Kosambi,DKI Jakarta,Jakarta,-6.158048,106.726662,Studio,1,41.9,Full Furnished,2,,48000000,TPM
Minimalist Studio Apartment Signature Park Grande By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.244827836402102,106.8660843372345,Studio,1,25.96,Full Furnished,2,5.0,42000000,TPM
Homey 2BR at Casablanca Mansion Apartment By Travelio,apartment,Apartemen Casablanca Mansion,Casablanca,DKI Jakarta,Jakarta,-6.2231877539669895,106.84648275375366,2,1,42.7,Full Furnished,3,5.0,65000000,TPM
Super Cozy 3BR Grand Palace Kemayoran Apartment By Travelio,apartment,Apartemen Grand Palace Kemayoran,Kemayoran,DKI Jakarta,Jakarta,-6.160694224255892,106.85292541980743,3,2,94.9,Full Furnished,4,5.0,57256800,TPM
Big Studio at Cosmo Terrace Thamrin Apartment near Thamrin City By Travelio,apartment,Apartemen Cosmo Terrace Thamrin,Thamrin,DKI Jakarta,Jakarta,-6.194309814711791,106.81474685668945,Studio,1,49.28,Full Furnished,4,4.8,71000000,TPM
Warm and Modern Look Studio Room at Gold Coast Apartment By Travelio,apartment,Apartemen Gold Coast,Pantai Indah Kapuk,DKI Jakarta,Jakarta,-6.10186,106.738439,Studio,1,28.0,Full Furnished,2,5.0,89890000,TPM
Tranquil and Well Appointed Studio Apartment at Menteng Park By Travelio,apartment,Apartemen Menteng Park,Menteng,DKI Jakarta,Jakarta,-6.1908806210051495,106.84015274047852,Studio,1,25.0,Full Furnished,2,5.0,52825000,TPM
Modern Look and Restful 2BR Bassura City Apartment near Mall By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.223443728614362,106.87879532575607,2,1,34.0,Full Furnished,3,5.0,38340000,TPM
Warm and Simply Studio Apartment at Gardenia Boulevard By Travelio,apartment,Apartemen Gardenia Boulevard,Pejaten,DKI Jakarta,Jakarta,-6.284016,106.827402,Studio,1,33.5,Full Furnished,2,5.0,37125000,TPM
Restful and Tidy Studio at Osaka Riverview PIK 2 Apartment By Travelio,apartment,Apartemen Osaka Riverview PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0578449739756275,106.67855501174927,Studio,1,14.16,Full Furnished,2,5.0,18000000,TPM
Studio Unfurnished with AC at East Park Apartment By Travelio,apartment,Apartemen East Park,Cakung,DKI Jakarta,Jakarta,-6.2034986640462035,106.92488372325897,Studio,1,24.0,Unfurnished,2,,16000000,REALTY
Unfurnished 1BR with AC at 10th Floor The Mansion Kemayoran Apartment By Travelio,apartment,Apartemen The Mansion Kemayoran,Kemayoran,DKI Jakarta,Jakarta,-6.146645763999299,106.852667927742,1,1,49.0,Unfurnished,2,,39792826,REALTY
2BR Unfurnished with AC at Green Pramuka City Apartment By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188552,106.87484,2,1,33.0,Unfurnished,4,,27249999,REALTY
Simply Look Unfurnished Studio at Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0420121,106.692587,Studio,1,21.0,Unfurnished,2,,10000000,REALTY
Minimalist Studio Room at Tamansari The Hive Apartment By Travelio,apartment,Apartemen Tamansari The Hive,Cawang,DKI Jakarta,Jakarta,-6.238444691538016,106.87717258930206,Studio,1,31.0,Full Furnished,2,5.0,49997065,TPM
Unfurnished 2BR Apartment at 38th Floor Tokyo Riverside PIK 2 By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042071,106.691986,2,1,36.0,Unfurnished,4,,17000000,REALTY
Comfy and Minimalist 1BR at The Wave Kuningan Apartment By Travelio,apartment,Apartemen The Wave Kuningan,Menteng Atas,DKI Jakarta,Jakarta,-6.213940586248377,106.83738201856613,1,1,40.66,Full Furnished,2,5.0,51940644,TPM
City View 2BR at Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,34.0,Full Furnished,4,5.0,37400000,TPM
Stylist 1BR at Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0424281578319485,106.69224500656128,1,1,38.0,Full Furnished,2,,29822222,TPM
Golf View 1BR Apartment at The Mansion near JIEXPO Kemayoran By Travelio,apartment,Apartemen The Mansion Kemayoran,Kemayoran,DKI Jakarta,Jakarta,-6.148443176931242,106.85455620288849,1,1,33.0,Full Furnished,2,5.0,46571154,TPM
Best Strategic 1BR at Puri Orchard Apartment By Travelio,apartment,Apartemen Puri Orchard,Cengkareng,DKI Jakarta,Jakarta,-6.166091635602988,106.72925412654877,1,1,35.2,Full Furnished,2,,34875000,TPM
Homey and Luxurious 3BR Apartment Vittoria Residence By Travelio,apartment,Apartemen Vittoria Residence,Cengkareng,DKI Jakarta,Jakarta,-6.15721681158754,106.73606425523758,3,2,87.0,Full Furnished,4,5.0,70000000,TPM
Well Appointed 2BR at Kemang Village Apartment By Travelio,apartment,Apartemen Kemang Village,Kemang,DKI Jakarta,Jakarta,-6.261401779491484,106.81266077354123,2,2,98.6,Full Furnished,3,5.0,150000000,TPM
Minimalist and Comfy 2BR at Titanium Square Apartment By Travelio,apartment,Apartemen Titanium Square,Pasar Rebo,DKI Jakarta,Jakarta,-6.3411840934176364,106.86997890472412,2,1,37.2,Full Furnished,3,4.9,41225000,TPM
Elegant 1BR Apartment at Kemang Mansion By Travelio,apartment,Apartemen Kemang Mansion,Kemang,DKI Jakarta,Jakarta,-6.25616945827803,106.81060418486595,1,1,60.0,Full Furnished,2,5.0,102475000,TPM
Gorgeous and Cozy Studio at West Vista Apartment By Travelio,apartment,Apartemen West Vista,Duri Kosambi,DKI Jakarta,Jakarta,-6.158109,106.726681,Studio,1,30.68,Full Furnished,2,5.0,36544402,TPM
Unfurnished 1BR Apartment with AC at Sentraland Cengkareng By Travelio,apartment,Apartemen Sentraland Cengkareng,Cengkareng,DKI Jakarta,Jakarta,-6.140009417524718,106.73866800963879,1,1,33.4,Unfurnished,2,,28999999,REALTY
Unfurnished 2BR with AC at 9th Floor Menara Latumenten Apartment By Travelio,apartment,Apartemen Menara Latumenten,Grogol,DKI Jakarta,Jakarta,-6.154128722047538,106.79236114025116,2,1,29.0,Unfurnished,4,,25000000,REALTY
Modern and Homey 2BR at Signature Park Grande Apartment By Travelio,apartment,Apartemen Signature Park Grande,MT Haryono,DKI Jakarta,Jakarta,-6.2448358352817,106.8660843372345,2,1,43.88,Full Furnished,3,,61414111,TPM
Comfort and Minimalist 2BR at Daan Mogot City Apartment By Travelio,apartment,Apartemen Daan Mogot City,Daan Mogot,DKI Jakarta,Jakarta,-6.151377960509142,106.71406745910645,2,1,50.67,Full Furnished,3,5.0,51344008,TPM
Simple and Homey 2BR at Signature Park Tebet Apartment By Travelio,apartment,Apartemen Signature Park Tebet,Tebet,DKI Jakarta,Jakarta,-6.242609475744002,106.85457229614258,2,1,38.5,Full Furnished,3,5.0,62074241,TPM
Best Mordern and Homey 2BR The Mansion Kemayoran Apartment By Travelio,apartment,Apartemen The Mansion Kemayoran,Kemayoran,DKI Jakarta,Jakarta,-6.148443176931242,106.85455620288849,2,1,51.0,Full Furnished,3,5.0,61821780,TPM
Nice and Homey 1BR at Gold Coast Apartment By Travelio,apartment,Apartemen Gold Coast,Pantai Indah Kapuk,DKI Jakarta,Jakarta,-6.10186,106.738439,1,1,51.0,Full Furnished,2,5.0,108888000,TPM
Homey and Good Choice 2BR Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,34.37,Full Furnished,3,,37367500,TPM
Brand New 1BR with Working Room at Daan Mogot City Apartment By Travelio,apartment,Apartemen Daan Mogot City,Daan Mogot,DKI Jakarta,Jakarta,-6.156446,106.711504,1,1,48.4,Full Furnished,2,,41215183,TPM
Good Choice 2BR Kalibata City Apartment By Travelio,apartment,Apartemen Kalibata City,Pancoran/Kalibata,DKI Jakarta,Jakarta,-6.25698199288882,106.85088761150837,2,1,28.57,Full Furnished,3,5.0,33005286,TPM
Strategic and Simple Studio Tifolia Apartment near Kelapa Gading By Travelio,apartment,Apartemen Tifolia,Pulo Gadung,DKI Jakarta,Jakarta,-6.175350308134791,106.89268112182617,Studio,1,21.0,Full Furnished,2,4.9,30635526,TPM
Homey and High Floor Studio Room at Bassura City Apartment By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,Studio,1,18.15,Full Furnished,2,5.0,30892056,TPM
Modern 2BR Apartment at Gading Mediterania Residence By Travelio,apartment,Apartemen Gading Mediterania Residence,Kelapa Gading,DKI Jakarta,Jakarta,-6.163275601750472,106.89244508743286,2,1,36.45,Full Furnished,3,,34250000,TPM
Fancy and Nice Studio at Sakura Garden City Apartment By Travelio,apartment,Apartemen Sakura Garden City,Ciracas,DKI Jakarta,Jakarta,-6.319510355203632,106.88972541224808,Studio,1,29.9,Full Furnished,2,,35625000,TPM
Unfurnished 2BR at 33rd Floor Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0420121,106.692587,2,1,40.0,Unfurnished,4,5.0,17188889,REALTY
2BR Unfurnished with AC at 11th Floor Green Pramuka City Apartment By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188552,106.87484,2,1,33.0,Unfurnished,4,5.0,27249999,REALTY
Comfy Unfurnished Studio Apartment at 37th Floor Tokyo Riverside PIK 2 By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.042433,106.692248,Studio,1,21.0,Unfurnished,2,,10000000,REALTY
Easy Access to Mall 2BR Green Pramuka City Apartment By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188552,106.87484,2,1,28.25,Full Furnished,3,4.9,32432143,TPM
Exclusive 3BR Apartment at Casa Grande Residence By Travelio,apartment,Apartemen Casa Grande Residence,Casablanca,DKI Jakarta,Jakarta,-6.223437,106.841813,3,2,99.0,Full Furnished,4,5.0,192350000,TPM
1BR Chrysant Kebagusan City Apartment near Cilandak Mall By Travelio,apartment,Apartemen Kebagusan City,Kebagusan,DKI Jakarta,Jakarta,-6.306015678701854,106.83596312999725,1,1,43.0,Full Furnished,2,4.7,35948077,TPM
Exclusive and Spacious Studio at Puri Orchard Apartment By Travelio,apartment,Apartemen Puri Orchard,Cengkareng,DKI Jakarta,Jakarta,-6.166091635602988,106.72925412654877,Studio,1,35.2,Full Furnished,2,5.0,45000000,TPM
Cozy Living 2BR Apartment at Bassura City near Mall By Travelio,apartment,Apartemen Bassura City,Jatinegara,DKI Jakarta,Jakarta,-6.22276,106.88039,2,1,34.0,Full Furnished,3,5.0,36210000,TPM
Best Price and Strategic 2BR Green Bay Pluit Apartment By Travelio,apartment,Apartemen Green Bay Pluit,Pluit,DKI Jakarta,Jakarta,-6.108615992663808,106.77899301052094,2,1,35.5,Full Furnished,4,,34581230,TPM
Homey and Simply Studio at Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0424281578319485,106.69224500656128,Studio,1,21.0,Full Furnished,2,5.0,20300000,TPM
Cozy Studio at Westmark Tanjung Duren Apartment By Travelio,apartment,Apartemen Westmark Tanjung Duren,Tanjung Duren,DKI Jakarta,Jakarta,-6.180331577662604,106.79365932941437,Studio,1,23.91,Full Furnished,2,4.8,48000000,TPM
Modern 2BR Unfurished at Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0424281578319485,106.69224500656128,2,1,38.0,Unfurnished,4,,25000000,REALTY
Spacious and Comfortable 2BR Green Bay Pluit Apartment By Travelio,apartment,Apartemen Green Bay Pluit,Pluit,DKI Jakarta,Jakarta,-6.108615992663808,106.77899301052094,2,1,36.0,Full Furnished,3,5.0,34581230,TPM
New and Minimalist Studio at Osaka Riverview PIK 2 Apartment By Travelio,apartment,Apartemen Osaka Riverview PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0578449739756275,106.67855501174927,Studio,1,14.16,Full Furnished,2,5.0,15334286,TPM
